name,latitude,longitude,population
Andria,					41.231667,	16.308333,	100365
Ancona,					43.616667,	13.516667,	100721
Piacenza,				45.05,		 9.7,		102181
Novara,					45.45,		 8.616667,	104471
Bolzano,				46.5,		11.35,		106783
Terni,					42.566667,	12.65,		111401
Vicenza,				45.55,		11.55,		112408
Trento,					46.066667,	11.116667,	117185
Forli,					44.2225,	12.040833,	117859
Bergamo,				45.695,		 9.67,		119806
Pescara,				42.464278,	14.214189,	120525
Siracusa,				37.083333,	15.283333,	122086
Monza,					45.583333,	 9.26667,	122728
GiuglianoinCampania,	40.93188,	14.19557,	123276
Latina,					41.467597,	12.9037,	126181
Sassari,				40.726667,	 8.559167,	127745
Ferrara,				44.845,		11.632778,	132445
Salerno,				40.680556,	14.759722,	135066
Rimini,					44.0595,	12.5685,	148214
Foggia,					41.466667,	15.566667,	151975
Cagliari,				39.216667,	 9.116667,	154411
Livorno,				43.55,		10.316667,	159020
Ravenna,				44.417778,	12.199444,	159162
Perugia,				43.1121,	12.3888,	165973
ReggionellEmilia,		44.7,		10.633333,	170996
ReggiodiCalabria,		38.114444,	15.65,		182703
Modena,					44.644722,	10.925556,	184960
Prato,					43.880814,	11.096561,	191749
Parma,					44.801472,	10.328,		194152
Brescia,				45.538889,	10.220278,	196359
Taranto,				40.418056,	17.240833,	200385
Trieste,				45.636111,	13.804167,	204292
Padova,					45.406389,	11.877778,	211560
Messina,				38.183333,	15.55,		237603
Verona,					45.438158,	10.993742,	258274
Venezia,				45.439722,	12.331944,	262344
Catania,				37.502669,	15.087269,	314318
Bari,					41.125278,	16.866667,	325183
Firenze,				43.771389,	11.254167,	383083
Bologna,				44.493889,	11.342778,	387423
Genova,					44.411156,	 8.932661,	585208
Palermo,				38.115556,	13.361389, 	671531
Torino,					45.066667,	 7.7,		889600
Napoli,					40.833333,	14.25,		972212
Milano,					45.464161,	 9.190336, 1350487
Roma,					41.893056,	12.482778, 2867078
Arezzo,					43.463056,	11.878056,	 99541
Udine,					46.066667,	13.233333,	 99094
Cesena,					44.133333,	12.233333,	 96583
Lecce, 					40.352011, 	18.169139,	 94892
Barletta,				41.316667, 	12.83333,	 94660
Pesaro,					43.91015,	12.9133,	 94512
Alessandria,			44.913333,	 8.62,		 93861
La Spezia,				44.108044,   9.828881,	 93515
Catanzaro,				38.91,	    16.5875,	 90435
Pistoia,				43.933333,  10.916667,	 90363
Pisa,					43.716667,	10.4,		 89745
Guidonia Montecelio,	42,			12.716667,	 88921
Lucca,					43.85,		10.516667,	 88574
Brindisi,				40.638333,	17.945833,	 88126
Torre del Greco,		40.785278,	14.395278,	 85927
Como,					45.81025,	 9.086139,	 84378
Treviso,				45.672222,	12.242222,	 83449
Busto Arsizio,			45.611958,	 8.8518,	 83314
Marsala,				37.799444,	12.434444,	 83205
Grosseto,				42.772222,	11.108889,	 82263
Sesto San Giovanni,		45.533333,	 9.233333,	 81668
Pozzuoli,				40.823056,	14.122222,	 81592
Varese,					45.816667,	 8.833333,	 80629
Fiumicino,				41.766667,	12.233333,	 78492
Casoria,				40.9,		14.3,		 77443
Caserta,				41.083333,	14.216667,	 76257
Asti,					44.898889,	 8.207778,	 76173
Gela,					37.066667,	14.25,		 75522
Cinisello Balsamo,		45.55,		 9.216667,	 75448
Aprilia,				41.583333,	12.65,		 73649
Ragusa,					36.925,		14.730556,	 73276
Pavia,					45.185278,	 9.155,		 72689
Cremona,				45.133333,	10.033333,	 72095
Quartu Sant Elena,		39.233333,	 9.183333,	 71049
Carpi,					44.783333,	10.885,		 71031
Lamezia Terme,			38.966667,	16.3,		 70714
Altamura,				40.816667,	16.55,		 70455
Imola,					44.353333,	11.714167,	 69909
L Aquila,				42.354008,	13.391992,	 69627
Massa,					44.033333,	10.133333,	 69366
Trapani,				38.016667,	12.516667,	 68665
Cosenza,				39.3,		16.25,		 67584
Viterbo,				42.418611,	12.104167,	 67420
Potenza,				40.633333,	15.8,		 67221